sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
1	35683	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1236
2	18638	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1888
3	20463	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1085
4	59069	Needles_3	2	3.14	0.005	0.00212991959689	False	215	0.1188
5	35814	Needles_3	2	3.14	0.005	0.00226829781888	False	212	0.1363
6	64085	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0887
7	5520	Needles_3	2	3.14	0.005	0.00173818008302	False	356	0.193
8	59465	Needles_3	2	3.14	0.005	0.00189912562931	False	366	0.1989
9	33800	Needles_3	2	3.14	0.005	0.0036180897977	False	523	0.2964
10	27731	Needles_3	2	3.14	0.005	0.00414935278517	False	603	0.3265
11	16103	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1916
12	34750	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0956
13	35227	Needles_3	2	3.14	0.005	0.00302951477362	False	456	0.255
14	51824	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0964
15	2718	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1063
16	20176	Needles_3	2	3.14	0.005	0.00299908228769	False	453	0.2485
17	21810	Needles_3	2	3.14	0.005	0.00488454268063	False	765	0.4077
18	28876	Needles_3	2	3.14	0.005	0.00137469612997	False	233	0.1225
19	32655	Needles_3	2	3.14	0.005	0.00382160117046	False	551	0.2972
20	44440	Needles_3	2	3.14	0.005	0.00208465035399	False	216	0.1186
21	10336	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0883
22	61415	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0917
23	27728	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0923
24	63515	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0901
25	42028	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0899
26	8397	Needles_3	2	3.14	0.005	0.00146093636006	False	340	0.184
27	65227	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1787
28	60481	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0894
29	11955	Needles_3	2	3.15	0.005	0.00353487713187	False	188	0.1007
30	65054	Needles_3	2	3.14	0.005	0.00498114143295	False	793	0.4255
31	34772	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1776
32	31830	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0901
33	20093	Needles_3	2	3.14	0.005	0.00321331444209	False	475	0.2577
34	2194	Needles_3	2	3.15	0.005	0.00479372320484	False	169	0.0931
35	58622	Needles_3	2	3.14	0.005	0.00280765891496	False	435	0.2312
36	16761	Needles_3	2	3.14	0.005	0.00298884822177	False	452	0.2407
37	16009	Needles_3	2	3.14	0.005	0.00246349389361	False	406	0.2202
38	38250	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0893
39	16425	Needles_3	2	3.14	0.005	0.00347532823185	False	505	0.2713
40	40937	Needles_3	2	3.14	0.005	0.00226829781888	False	212	0.115
41	62910	Needles_3	2	3.14	0.005	0.00370792063535	False	535	0.2928
42	59265	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.09
43	62703	Needles_3	2	3.14	0.005	0.00177916780183	False	223	0.121
44	36967	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1496
45	11408	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1809
46	41934	Needles_3	2	3.14	0.005	0.00318527859599	False	472	0.2587
47	10245	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.091
48	3898	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.09
49	15104	Needles_3	2	3.14	0.005	0.000638158496246	False	300	0.1583
50	51152	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1795
51	62340	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0895
52	3182	Needles_3	2	3.14	0.005	0.00296969464001	False	198	0.1064
53	39588	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0941
54	24425	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0883
55	9858	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0911
56	51739	Needles_3	2	3.14	0.005	0.00422263527649	False	616	0.3241
57	54405	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0923
58	13058	Needles_3	2	3.14	0.005	0.0033131472146	False	486	0.2598
59	61764	Needles_3	2	3.14	0.005	0.00306947305462	False	460	0.2448
60	8486	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0873
61	62569	Needles_3	2	3.14	0.005	0.00327737233792	False	482	0.2608
62	65491	Needles_3	2	3.15	0.005	0.00499351041738	False	499	0.3028
63	49299	Needles_3	2	3.14	0.005	0.00013840439997	False	280	0.1524
64	56652	Needles_3	2	3.14	0.005	0.00165405681576	False	226	0.1227
65	62321	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0911
66	28917	Needles_3	2	3.14	0.005	0.0016371898242	False	350	0.1864
67	38672	Needles_3	2	3.14	0.005	0.000614762187158	False	299	0.1632
68	23396	Needles_3	2	3.14	0.005	0.00335704500684	False	491	0.2619
69	29164	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0899
70	3693	Needles_3	2	3.15	0.005	0.00499351041738	False	499	0.2653
71	46750	Needles_3	2	3.15	0.005	0.00443569107275	False	174	0.0918
72	57534	Needles_3	2	3.15	0.005	0.00390390805303	False	182	0.1004
73	40715	Needles_3	2	3.14	0.005	0.00186446787907	False	221	0.1178
74	56811	Needles_3	2	3.14	0.005	0.00468087406007	False	712	0.4596
75	835	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0912
76	23932	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.089
77	40385	Needles_3	2	3.14	0.005	0.0042662128863	False	624	0.3722
78	63671	Needles_3	2	3.14	0.005	0.00156791336609	False	346	0.1874
79	57731	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0913
80	55899	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0918
81	14414	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.2417
82	38811	Needles_3	2	3.14	0.005	0.000907191001179	False	312	0.1659
83	28573	Needles_3	2	3.14	0.005	0.00223784347515	False	389	0.2677
84	25377	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0894
85	64217	Needles_3	2	3.14	0.005	2.57831043426e-05	False	274	0.2072
86	54101	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0883
87	20871	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1646
