sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	cntProbe	runtime
1	57665	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1192
2	31669	Needles_3	2	3.13949701841	0.005	0.00209563517826	False	379	0.2503
3	61971	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.114
4	20009	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1144
5	16145	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1143
6	34048	Needles_3	2	3.14070708729	0.005	0.000885566297507	False	311	0.2128
7	14808	Needles_3	2	3.14549656164	0.005	0.00390390805303	False	182	0.1232
8	1002	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1141
9	2038	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.122
10	64364	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1156
11	43094	Needles_3	2	3.14657348906	0.005	0.00498083547488	False	333	0.2241
12	9862	Needles_3	2	3.14193895351	0.005	0.000346299922377	False	263	0.1979
13	13786	Needles_3	2	3.13712907492	0.005	0.00446357866642	False	663	0.4416
14	36979	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1095
15	58579	Needles_3	2	3.14657348906	0.005	0.00498083547488	False	333	0.2235
16	21176	Needles_3	2	3.14277789564	0.005	0.00118524205334	False	238	0.1687
17	23522	Needles_3	2	3.14259625948	0.005	0.00100360588908	False	243	0.1615
18	37051	Needles_3	2	3.13961631466	0.005	0.0019763389292	False	371	0.2463
19	55841	Needles_3	2	3.13680054265	0.005	0.00479211093941	False	740	0.4903
20	63638	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1143
21	1898	Needles_3	2	3.13948246018	0.005	0.002110193409	False	380	0.2514
22	42287	Needles_3	2	3.13866617495	0.005	0.00292647863738	False	446	0.294
23	16509	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.111
24	2263	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.112
25	9585	Needles_3	2	3.13698369328	0.005	0.00460896030633	False	695	0.468
26	11123	Needles_3	2	3.14658616401	0.005	0.00499351041738	False	499	0.3317
27	37672	Needles_3	2	3.14414983841	0.005	0.00255718482127	False	206	0.1375
28	37568	Needles_3	2	3.13909756245	0.005	0.00249509113604	False	817	0.5465
29	2383	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1091
30	12046	Needles_3	2	3.1381840987	0.005	0.00340855489443	False	497	0.3309
31	38542	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1127
32	16406	Needles_3	2	3.14086245247	0.005	0.000730201118813	False	304	0.2008
33	31705	Needles_3	2	3.14405168495	0.005	0.00245903135958	False	208	0.1372
34	6576	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1423
35	4598	Needles_3	2	3.13972500832	0.005	0.00186764527108	False	364	0.2387
36	9772	Needles_3	2	3.13919353809	0.005	0.00239911549877	False	401	0.2653
37	37345	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1102
38	7031	Needles_3	2	3.13898094541	0.005	0.002611708179	False	418	0.272
39	45101	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1279
40	38291	Needles_3	2	3.14657348906	0.005	0.00498083547488	False	333	0.2392
41	21795	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1114
42	14491	Needles_3	2	3.13983797245	0.005	0.00175468114184	False	357	0.2372
