sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	cntProbe	runtime
1	12786	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0272
2	8356	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0244
3	59277	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.044
4	52913	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0165
5	30036	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1103
6	22443	Needles_3	2	3.13775730544	0.005	0.00383534814525	False	553	0.3605
7	12109	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.11
8	47229	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0284
9	26747	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0275
10	3688	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0297
11	62677	Needles_3	2	3.13699675108	0.005	0.00459590250806	False	692	0.517
12	2269	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0158
13	52228	Needles_3	2	3.14358801522	0.005	0.00199536163256	False	218	0.1404
14	16483	Needles_2	2	3.14563106796	0.005	0.00403841437137	False	108	0.0679
15	44696	Needles_3	2	3.13812555595	0.005	0.00346709764414	False	504	0.33
16	28619	Needles_3	2	3.13722729429	0.005	0.00436535929824	False	643	0.4202
17	13139	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1086
18	13051	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.014
19	46145	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0141
20	32820	Needles_3	2	3.13938266282	0.005	0.00220999077162	False	387	0.2528
21	16195	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0145
22	1424	Needles_2	2	3.13846153846	0.005	0.00313111512825	False	68	0.0578
23	37233	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	86	0.0532
24	20827	Needles_3	2	3.14117086395	0.005	0.00042178964469	False	291	0.1903
25	24859	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0171
26	43593	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.013
27	54436	Needles_3	2	3.14289059791	0.005	0.00129794432197	False	235	0.1555
28	34706	Needles_3	2	3.14489436833	0.005	0.00330171473802	False	192	0.1283
29	35012	Needles_3	2	3.13734265059	0.005	0.00425000299893	False	621	0.4376
30	60501	Needles_3	2	3.14238795084	0.005	0.000795297246481	False	249	0.1634
31	25621	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1116
32	62878	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	172	0.1068
33	29173	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1107
34	59201	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0129
35	26268	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1104
36	38827	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0135
37	62194	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0291
38	50869	Needles_3	2	3.14011362579	0.005	0.0014790278028	False	341	0.2232
39	39002	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1117
40	55304	Needles_3	2	3.13783417084	0.005	0.00375848274835	False	542	0.3507
41	37384	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1074
42	35641	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0144
43	41540	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1101
44	45568	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0144
45	6709	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1099
46	10955	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1093
47	42975	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0268
48	39325	Needles_3	2	3.14043639951	0.005	0.00115625408307	False	324	0.2086
49	6945	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1083
50	64247	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	86	0.0557
51	28810	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1087
52	44049	Needles_3	2	3.14658616401	0.005	0.00499351041738	False	499	0.3261
53	31533	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1101
54	60473	Needles_3	2	3.13685508757	0.005	0.00473756601742	False	726	0.4778
55	33721	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1109
56	536	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.013
57	56718	Needles_2	2	3.14516129032	0.005	0.00356863673279	False	65	0.0433
58	32408	Needles_3	2	3.14337182139	0.005	0.00177916780183	False	223	0.1442
59	8388	Needles_3	2	3.14658616401	0.005	0.00499351041738	False	499	0.3261
60	11612	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.015
61	11003	Needles_3	2	3.14609828904	0.005	0.00450563545446	False	173	0.1134
62	14124	Needles_3	2	3.14093125459	0.005	0.000661399003054	False	301	0.1972
63	56955	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0135
64	22171	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0142
65	182	Needles_3	2	3.13750782575	0.005	0.00408482784073	False	592	0.3883
66	15890	Needles_3	2	3.13814211563	0.005	0.00345053796437	False	502	0.3274
67	53174	Needles_3	2	3.13756860378	0.005	0.00402404980976	False	582	0.3988
68	19104	Needles_3	2	3.14657348906	0.005	0.00498083547488	False	333	0.2141
69	40024	Needles_3	2	3.13679672552	0.005	0.00479592806652	False	741	0.4847
70	37219	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0138
71	40734	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1091
72	26418	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0283
73	13576	Needles_2	2	3.14117647059	0.005	0.000416183001558	False	89	0.0573
74	40819	Needles_3	2	3.13844531604	0.005	0.00314733755081	False	468	0.3031
75	55526	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0133
76	34740	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0153
77	57933	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1085
78	15564	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0136
79	23787	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1081
80	10950	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0133
81	60195	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0155
82	49088	Needles_3	2	3.14066397636	0.005	0.000928677232896	False	313	0.2037
83	41426	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0122
84	19770	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1088
85	5300	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0148
86	48011	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0176
87	5828	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0135
88	41199	Needles_2	2	3.14634146341	0.005	0.00474880982484	False	43	0.0267
89	62522	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1074
90	41543	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1091
91	21324	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1087
92	35903	Needles_3	2	3.1459592027	0.005	0.00436654911225	False	175	0.1154
93	20101	Needles_3	2	3.13668682001	0.005	0.00490583357829	False	771	0.5063
94	57240	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1097
95	36897	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1109
96	64696	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1088
97	14820	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.11
98	41896	Needles_3	2	3.13978902033	0.005	0.00180363326251	False	360	0.2382
99	38940	Needles_2	2	3.14285714286	0.005	0.00126448926735	False	22	0.0135
100	12738	Needles_3	2	3.14653561664	0.005	0.00494296305148	False	167	0.1102
101	38541	Needles_3	3	3.14114048659	0.0005	0.000452166995057	False	3799	2.5207
102	38277	Needles_2	3	3.14201183432	0.0005	0.000419180729733	False	177	0.1142
103	56405	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1728
104	15057	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1714
105	28157	Needles_3	3	3.14177332433	0.0005	0.000180670735796	False	1880	1.2813
106	56033	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0854
107	57404	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.171
108	48827	Needles_3	3	3.14127394313	0.0005	0.000318710463284	False	2869	1.961
109	56875	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1714
110	7303	Needles_3	3	3.1420884463	0.0005	0.000495792713057	False	1549	1.0396
111	8619	Needles_3	3	3.14181933863	0.0005	0.00022668504433	False	1602	1.0592
112	8375	Needles_3	3	3.1416296392	0.0005	3.69856062656e-05	False	1368	0.9198
113	33224	Needles_2	3	3.14173228346	0.0005	0.000139629874774	False	133	0.0911
114	19580	Needles_3	3	3.14134865409	0.0005	0.000243999500783	False	284	0.1888
115	7980	Needles_3	3	3.14155504617	0.0005	3.76074179398e-05	False	1934	1.2996
116	1574	Needles_3	3	3.14145668424	0.0005	0.000135969352882	False	3079	2.0479
117	62280	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1736
118	53527	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1746
119	39654	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1804
120	37533	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1722
121	45981	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.5359
122	55398	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.057
123	47114	Needles_3	3	3.14122078025	0.0005	0.000371873336739	False	1156	0.7728
124	58269	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3688
125	33561	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3453
126	30220	Needles_2	3	3.14173228346	0.0005	0.000139629874774	False	133	0.0836
127	30883	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.199
128	7789	Needles_3	3	3.14209127512	0.0005	0.000498621528209	False	3355	2.2491
129	63202	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0567
130	41114	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0564
131	12660	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0634
132	65071	Needles_3	3	3.14148112219	0.0005	0.000111531395272	False	279	0.1872
133	45733	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.516
134	16157	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3437
135	37033	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1735
136	5227	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0595
137	16492	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1731
138	46187	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1717
139	29343	Needles_3	3	3.14208582131	0.0005	0.000493167721118	False	1033	0.6979
140	24243	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1741
141	34005	Needles_2	3	3.14173228346	0.0005	0.000139629874774	False	133	0.0846
142	30581	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.362
143	1180	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1941
144	21200	Needles_2	3	3.14150943396	0.0005	8.32196275291e-05	False	111	0.0723
145	52522	Needles_3	3	3.1412586743	0.0005	0.000333979288896	False	1150	0.7721
146	20231	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.06
147	6555	Needles_3	3	3.14208919661	0.0005	0.000496543022849	False	1807	1.2096
148	24518	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.058
149	5364	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.5148
150	21449	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1716
151	33739	Needles_2	3	3.14136125654	0.0005	0.00023139704529	False	200	0.1267
152	50523	Needles_3	3	3.14208919661	0.0005	0.000496543022849	False	1807	1.198
153	63136	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3456
154	32660	Needles_3	3	3.14149192554	0.0005	0.000100728047737	False	1393	0.9349
155	20511	Needles_2	3	3.14181818182	0.0005	0.000225528228389	False	288	0.1908
156	8993	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.172
157	48502	Needles_2	3	3.14150943396	0.0005	8.32196275291e-05	False	111	0.0685
158	19160	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3447
159	49532	Needles_3	3	3.14208582131	0.0005	0.000493167721118	False	1033	0.6816
160	7058	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1735
161	22826	Needles_3	3	3.1420884463	0.0005	0.000495792713057	False	1549	1.0335
162	48110	Needles_3	3	3.14141429852	0.0005	0.000178355068676	False	563	0.3758
163	53860	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1724
164	11801	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0585
165	16325	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.5162
166	11927	Needles_3	3	3.141364705	0.0005	0.000227948585768	False	3684	2.4438
167	61549	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3398
168	24149	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.3418
169	59727	Needles_2	3	3.14150943396	0.0005	8.32196275291e-05	False	111	0.0729
170	40131	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1745
171	12376	Needles_3	3	3.1420873961	0.0005	0.000494742512425	False	1291	0.8576
172	36089	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1716
173	28479	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1731
174	13942	Needles_2	3	3.14173228346	0.0005	0.000139629874774	False	133	0.0821
175	36215	Needles_3	3	3.14208582131	0.0005	0.000493167721118	False	1033	0.6775
176	28629	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1708
177	13360	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1726
178	53948	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1722
179	21910	Needles_3	3	3.14182916914	0.0005	0.000236515548615	False	800	0.5332
180	32137	Needles_3	3	3.14159057336	0.0005	2.08022668469e-06	False	825	0.5466
181	43089	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1721
182	19009	Needles_2	3	3.14181818182	0.0005	0.000225528228389	False	288	0.1851
183	60599	Needles_2	3	3.14150943396	0.0005	8.32196275291e-05	False	111	0.0723
184	42771	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.5178
185	11569	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1748
186	45981	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.5162
187	49811	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0616
188	29193	Needles_3	3	3.14161843669	0.0005	2.57831043431e-05	False	274	0.1827
189	12726	Needles_3	3	3.14208319802	0.0005	0.000490544427102	False	775	0.5222
190	33945	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1755
191	16734	Needles_3	3	3.14207795652	0.0005	0.000485302926261	False	517	0.345
192	5543	Needles_3	3	3.14190870912	0.0005	0.00031605552758	False	264	0.1729
193	5498	Needles_3	3	3.1420873961	0.0005	0.000494742512425	False	1291	0.8579
194	46793	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1697
195	33911	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.1712
196	56259	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.175
197	45532	Needles_2	3	3.14117647059	0.0005	0.000416183001558	False	89	0.0702
198	52154	Needles_3	3	3.14208582131	0.0005	0.000493167721118	False	1033	0.6825
199	55663	Needles_3	3	3.14208975944	0.0005	0.000497105846265	False	2065	1.3753
200	5008	Needles_3	3	3.14206227259	0.0005	0.000469619003099	False	259	0.171
201	59970	Needles_3	4	3.14163946836	5e-05	4.68147657022e-05	False	2186	1.4815
202	40999	Needles_3	4	3.14163244495	5e-05	3.97913642298e-05	False	547	0.364
203	40471	Needles_3	4	3.14163244495	5e-05	3.97913642298e-05	False	547	0.3657
204	25709	Needles_3	4	3.14164181235	5e-05	4.91587632987e-05	False	1639	1.0899
205	14124	Needles_3	4	3.14163244495	5e-05	3.97913642298e-05	False	547	0.3661
206	43842	Needles_3	4	3.14163244495	5e-05	3.97913642298e-05	False	547	0.3637
207	48803	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1834
208	25543	Needles_3	4	3.14164153651	5e-05	4.88829244678e-05	False	4644	3.1027
209	17412	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1826
210	25566	Needles_3	4	3.14164248233	5e-05	4.98287402415e-05	False	3824	2.5744
211	42704	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1824
212	31351	Needles_3	4	3.14163244495	5e-05	3.97913642298e-05	False	547	0.3706
213	48126	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1838
214	19797	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.184
215	5101	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1833
216	33521	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1832
217	42252	Needles_3	4	3.14161843669	5e-05	2.57831043431e-05	False	274	0.1828
