sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	cntProbe	runtime
1	30167	Needles_3	2	3.143045434410107	0.005	0.0014527808203137482	False	231	0.1885
2	16574	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1347
3	36415	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1385
4	23713	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1273
5	49574	Needles_3	2	3.137386653478725	0.005	0.004206000111067976	False	613	0.4846
6	60851	Needles_3	2	3.140476618199411	0.005	0.0011160353903822973	False	322	0.2667
7	52846	Needles_3	2	3.1465734890646693	0.005	0.004980835474876155	False	333	0.2705
8	54095	Needles_3	2	3.1465925110468267	0.005	0.004999857457033574	False	665	0.5253
9	47458	Needles_3	2	3.1376443556959073	0.005	0.003948297893885844	False	570	0.4322
10	12568	Needles_3	2	3.146586164007173	0.005	0.004993510417379721	False	499	0.4003
11	34752	Needles_3	2	3.146586164007173	0.005	0.004993510417379721	False	499	0.3707
12	50652	Needles_3	2	3.1465734890646693	0.005	0.004980835474876155	False	333	0.2576
13	46219	Needles_3	2	3.138655663573613	0.005	0.0029369900161801965	False	447	0.3232
14	14980	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1322
15	31191	Needles_3	2	3.1430062232939924	0.005	0.0014135697041992579	False	232	0.1831
16	51442	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1341
17	46806	Needles_3	2	3.146586164007173	0.005	0.004993510417379721	False	499	0.3886
18	46038	Needles_3	2	3.1465734890646693	0.005	0.004980835474876155	False	333	0.2491
19	16323	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1307
20	21560	Needles_3	2	3.1439554070315343	0.005	0.0023627534417411944	False	210	0.1561
21	13201	Needles_3	2	3.1445089646062017	0.005	0.002916311016408546	False	199	0.1535
22	17142	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1262
23	36952	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1326
24	56993	Needles_3	2	3.1465734890646693	0.005	0.004980835474876155	False	333	0.257
25	16897	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1257
26	22151	Needles_3	2	3.1448375930828596	0.005	0.0032449394930664788	False	193	0.1515
27	18520	Needles_3	2	3.1400072710879687	0.005	0.001585382501824384	False	347	0.2602
28	33482	Needles_3	2	3.141296966767467	0.005	0.0002956868223260578	False	286	0.2069
29	10476	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1237
30	24572	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.126
31	23783	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1212
32	10310	Needles_3	2	3.143543984295609	0.005	0.0019513307058161011	False	219	0.178
33	57845	Needles_3	2	3.146535616641275	0.005	0.004942963051481897	False	167	0.1262
34	22389	Needles_3	2	3.1427409587224577	0.005	0.0011483051326646176	False	239	0.1993
35	39883	Needles_3	2	3.1408398198655405	0.005	0.0007528337242526106	False	305	0.2454
36	28878	Needles_3	2	3.1386661749524114	0.005	0.002926478637381713	False	446	0.3314
