sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
73	61383	Needles_3	2	3.14	0.005	0.00138749157659	False	336	0.1835
74	59557	Needles_3	2	3.14	0.005	0.0026592368106	False	422	0.2746
75	42749	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.093
76	16046	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.224
77	33313	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0911
78	2161	Needles_3	2	3.14	0.005	0.00313314192668	False	195	0.106
79	40830	Needles_3	2	3.14	0.005	0.0037441703579	False	540	0.2887
80	29811	Needles_3	2	3.14	0.005	0.000407485765885	False	261	0.1381
81	45173	Needles_3	2	3.14	0.005	0.00499767727706	False	798	0.4838
82	45943	Needles_3	2	3.14	0.005	0.00153223341764	False	229	0.1247
83	30666	Needles_3	2	3.14	0.005	0.00302362206962	False	197	0.1247
84	16107	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.091
85	40828	Needles_3	2	3.14	0.005	0.000661928348927	False	253	0.1707
86	19428	Needles_3	2	3.14	0.005	0.00233310864537	False	396	0.2152
87	60764	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0891
88	2779	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1806
89	61328	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1389
90	23039	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0896
91	31778	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0923
92	52896	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0889
93	43920	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.093
94	37874	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0911
95	43282	Needles_3	2	3.14	0.005	0.00140601654923	False	337	0.184
96	40779	Needles_3	2	3.14	0.005	0.00296969464001	False	198	0.1053
97	34999	Needles_3	2	3.14	0.005	0.00267097829575	False	423	0.228
98	41824	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0883
99	7391	Needles_3	2	3.14	0.005	0.00468087406007	False	712	0.3872
