sampleId	seedInit	solverName	signifDigits	piHat	OFtol	error	isCensored	numThrows	runtime
1	17530	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1025
2	8366	Needles_3	2	3.14	0.005	0.00281114261317	False	201	0.1191
3	27063	Needles_3	2	3.14	0.005	0.00231530109238	False	211	0.1188
4	49861	Needles_3	2	3.14	0.005	0.00354001626009	False	513	0.2802
5	55169	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1774
6	63848	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0939
7	11863	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.118
8	49608	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0885
9	23346	Needles_3	2	3.14	0.005	0.00131227347843	False	332	0.185
10	29065	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.1245
11	42042	Needles_3	2	3.14	0.005	0.000797655641445	False	307	0.1825
12	65276	Needles_3	2	3.14	0.005	0.000992318270182	False	316	0.2076
13	8039	Needles_3	2	3.14	0.005	0.00177108984398	False	358	0.2129
14	14445	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.2122
15	20062	Needles_3	2	3.14	0.005	0.0024379340747	False	404	0.2269
16	43831	Needles_3	2	3.14	0.005	0.0032225810822	False	476	0.2723
17	32756	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0895
18	46393	Needles_3	2	3.14	0.005	0.00388268836802	False	560	0.2992
19	32616	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0872
20	56996	Needles_3	2	3.14	0.005	0.000761553845596	False	250	0.1308
21	41906	Needles_3	2	3.14	0.005	0.00335704500684	False	491	0.2683
22	7212	Needles_3	2	3.14	0.005	0.00497446851197	False	791	0.4243
23	12793	Needles_3	2	3.14	0.005	0.00444441221351	False	659	0.3554
24	62590	Needles_3	2	3.14	0.005	0.00167123650855	False	352	0.1887
25	8170	Needles_3	2	3.14	0.005	0.00245903135958	False	208	0.1113
26	1588	Needles_3	2	3.14	0.005	0.00318875157824	False	194	0.1033
27	9603	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0912
28	25600	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0894
29	37047	Needles_3	2	3.14	0.005	0.00281114261317	False	201	0.1067
30	51733	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0887
31	57493	Needles_3	2	3.14	0.005	0.000110609940726	False	271	0.1395
32	52937	Needles_3	2	3.15	0.005	0.00486789719236	False	168	0.0899
33	59814	Needles_3	2	3.14	0.005	0.00488096165701	False	764	0.4075
34	30205	Needles_3	2	3.15	0.005	0.00498083547488	False	333	0.1762
35	21990	Needles_3	2	3.14	0.005	0.000471022947286	False	293	0.1533
36	41016	Needles_3	2	3.15	0.005	0.00479372320484	False	169	0.0893
37	4802	Needles_3	2	3.14	0.005	0.00169538867693	False	225	0.1228
38	37038	Needles_3	2	3.14	0.005	0.00472560273998	False	723	0.3821
39	13685	Needles_3	2	3.14	0.005	0.00255100063015	False	413	0.2188
40	50206	Needles_3	2	3.15	0.005	0.00494296305148	False	167	0.0882
41	20104	Needles_3	2	3.14	0.005	0.0026069820914	False	205	0.1101
42	26678	Needles_3	2	3.14	0.005	0.00127397924424	False	330	0.1951
