sampleId	seedInit	solverName	numThrows	piHat	error	runtime
1	42690	needles3	10	3.0	0.14159265358979312	0.214807033539
2	21930	needles3	10	3.0	0.14159265358979312	0.217310190201
3	57384	needles3	10	3.0	0.14159265358979312	0.21430516243
4	17175	needles3	10	3.0	0.14159265358979312	0.219830989838
5	12139	needles3	10	3.0	0.14159265358979312	0.213029146194
6	5406	needles3	10	3.0	0.14159265358979312	0.230502128601
7	23074	needles3	10	3.0	0.14159265358979312	0.223572015762
8	55686	needles3	10	3.0	0.14159265358979312	0.213824987411
9	26007	needles3	10	3.0	0.14159265358979312	0.221522092819
10	43752	needles3	10	3.0	0.14159265358979312	0.228778123856
11	20442	needles3	10	3.0	0.14159265358979312	0.222378969193
12	40090	needles3	10	3.0	0.14159265358979312	0.234194040298
13	57104	needles3	10	3.0	0.14159265358979312	0.213286161423
14	51390	needles3	10	3.0	0.14159265358979312	0.215627193451
15	58298	needles3	10	3.0	0.14159265358979312	0.219986915588
16	27979	needles3	10	3.0	0.14159265358979312	0.232288837433
17	37132	needles3	10	3.0	0.14159265358979312	0.225023031235
18	42574	needles3	10	3.0	0.14159265358979312	0.228281974792
19	36449	needles3	10	3.0	0.14159265358979312	0.223632097244
20	43237	needles3	10	3.0	0.14159265358979312	0.23860502243
21	63827	needles3	10	3.0	0.14159265358979312	0.229691028595
22	14307	needles3	10	3.0	0.14159265358979312	0.224469184875
23	18656	needles3	10	3.0	0.14159265358979312	0.220520019531
24	7848	needles3	10	3.0	0.14159265358979312	0.220837831497
25	12624	needles3	10	3.0	0.14159265358979312	0.2180519104
26	65513	needles3	10	3.0	0.14159265358979312	0.232111215591
27	1532	needles3	10	3.0	0.14159265358979312	0.226409196854
28	16256	needles3	10	0.0	3.1415926535897931	0.231317996979
29	56667	needles3	10	3.0	0.14159265358979312	0.233382940292
30	34172	needles3	10	3.0	0.14159265358979312	0.223035097122
31	56117	needles3	10	3.0	0.14159265358979312	0.228866815567
32	24993	needles3	10	3.0	0.14159265358979312	0.230662107468
33	30940	needles3	10	3.0	0.14159265358979312	0.21327996254
34	60557	needles3	10	3.0	0.14159265358979312	0.220049858093
35	52614	needles3	10	3.0	0.14159265358979312	0.213721990585
36	32861	needles3	10	3.0	0.14159265358979312	0.213254928589
37	26859	needles3	10	3.0	0.14159265358979312	0.228026866913
38	25055	needles3	10	0.0	3.1415926535897931	0.225482940674
39	9732	needles3	10	3.0	0.14159265358979312	0.223366975784
40	53752	needles3	10	3.0	0.14159265358979312	0.214912891388
41	14952	needles3	10	3.0	0.14159265358979312	0.235468864441
42	21581	needles3	10	3.0	0.14159265358979312	0.217084884644
43	46762	needles3	10	3.0	0.14159265358979312	0.223130941391
44	20627	needles3	10	3.0	0.14159265358979312	0.225619077682
45	16560	needles3	10	3.0	0.14159265358979312	0.227297067642
46	32632	needles3	10	3.0	0.14159265358979312	0.223140001297
47	27631	needles3	10	3.0	0.14159265358979312	0.225522041321
